player_id,season,player_display_name,team,games_played,ppr_pg_weighted,ppr_total_weighted,ppr_pg_last,ppr_pg_2yr_ago,ppr_pg_3yr_ago,games_played_last,games_played_2yr_ago,career_seasons,age_at_season_start,team_pass_rate_last,team_pts_per_game_last,team_plays_per_game_last,team_changed_offseason,targets_pg_last,receptions_pg_last,rec_yds_pg_last,rec_tds_pg_last,target_share_last,air_yards_share_last,wopr_proxy_last,snap_pct_last,xfp_ppr_last,ppr_minus_xfp_last,fantasy_points_ppr,fantasy_points_half_ppr,fantasy_points_ppr_per_game,fantasy_points_half_ppr_per_game,receptions,projected_ppr,projected_half_ppr,naive_proj,xfp_proj
00-0030035,2024,Adam Thielen,CAR,10,12.823197586726998,214.98,13.588235294117647,10.444444444444445,15.36923076923077,17.0,18.0,10.0,26.0,0.5685131195335277,17.363321799307958,60.529411764705884,0.0,8.058823529411764,6.0588235294117645,59.64705882352941,0.23529411764705882,0.2565543071161049,0.2599508599508599,0.5667970626397593,0.9111764705882353,207.89000000000001,23.109999999999985,139.5,115.5,13.95,11.55,48.0,159.76071,126.72163391113281,217.41176470588235,207.89000000000001
00-0030035,2025,Adam Thielen,PIT,15,13.490915032679737,171.8,13.95,13.588235294117647,10.444444444444445,10.0,17.0,11.0,26.0,0.5706806282722513,18.301038062283737,56.1764705882353,1.0,6.2,4.8,61.5,0.5,0.11992263056092843,0.16433151270482071,0.29491600473476715,0.708,98.44,41.06,44.1,33.6,2.94,2.24,21.0,125.619316,101.19758033752441,223.2,98.44
00-0030279,2024,Keenan Allen,CHI,15,19.28443881118881,245.926,21.450769230769232,16.009090909090908,16.1125,13.0,11.0,7.0,26.0,0.5951035781544256,20.602076124567475,62.470588235294116,1.0,11.538461538461538,8.307692307692308,95.61538461538461,0.5384615384615384,0.24429967426710097,0.3160644318676535,0.5876946137080089,0.89,264.39,14.470000000000027,184.4,149.4,12.293333333333333,9.96,70.0,242.32741,199.77481079101562,343.2123076923077,264.39
00-0030279,2025,Keenan Allen,LAC,18,15.41213986013986,211.90800000000002,12.293333333333333,21.450769230769232,16.009090909090908,15.0,13.0,8.0,26.0,0.567703109327984,18.290657439446367,58.64705882352941,1.0,8.066666666666666,4.666666666666667,49.6,0.4666666666666667,0.2300380228136882,0.267578593712503,0.5323620498192844,0.868,195.73,-11.329999999999984,188.2,146.2,10.455555555555556,8.122222222222222,84.0,158.70712,123.92005920410156,196.69333333333333,195.73
00-0030431,2024,Robert Woods,HOU,16,7.089003267973856,104.83,5.8125,6.923529411764706,15.244444444444444,16.0,17.0,11.0,26.0,0.5746003552397868,21.105263157894736,59.26315789473684,0.0,5.0625,2.625,27.6875,0.0625,0.1308562197092084,0.14241030358785647,0.2959715420753121,0.67125,137.61,-44.610000000000014,42.5,31.5,2.65625,1.96875,22.0,66.95397,57.360984802246094,93.0,137.61
00-0030564,2024,DeAndre Hopkins,KC,19,14.420431372549018,194.39,13.152941176470588,16.855555555555554,14.720000000000002,17.0,9.0,11.0,26.0,0.5283422459893048,18.570934256055363,55.0,1.0,8.058823529411764,4.411764705882353,62.1764705882353,0.4117647058823529,0.28721174004192873,0.42863475177304966,0.7308619363040278,0.7217647058823529,222.83,0.7699999999999818,160.9,131.4,8.468421052631578,6.915789473684211,59.0,252.99556,208.45983505249023,210.4470588235294,222.83
00-0030564,2025,DeAndre Hopkins,BAL,17,10.71249054007568,178.79,8.468421052631578,13.152941176470588,16.855555555555554,19.0,17.0,12.0,26.0,0.5696413678065054,19.9,59.95,1.0,4.631578947368421,3.1052631578947367,33.63157894736842,0.3157894736842105,0.13517665130568357,0.22702702702702704,0.36168389587744426,0.4584210526315789,155.52,5.3799999999999955,67.0,56.0,3.9411764705882355,3.2941176470588234,22.0,82.94987,66.29439544677734,135.49473684210525,155.52
00-0031235,2024,Odell Beckham Jr.,MIA,8,7.683134920634921,125.9857142857143,7.18125,0.0,10.694444444444445,16.0,0.0,1.0,26.0,0.4800347222222222,22.526315789473685,60.63157894736842,1.0,4.4375,2.4375,37.4375,0.1875,0.13549618320610687,0.22062720848056538,0.3576833207455561,0.486875,136.52,-21.620000000000005,14.5,10.0,1.8125,1.25,9.0,80.3828,67.07322692871094,114.9,136.52
00-0031236,2024,Brandin Cooks,DAL,10,11.320514705882353,177.56,10.852941176470589,11.2,14.4875,17.0,13.0,10.0,26.0,0.5775492716366752,23.22222222222222,64.83333333333333,0.0,5.235294117647059,3.5294117647058822,41.411764705882355,0.47058823529411764,0.13423831070889894,0.2225201072386059,0.35712154113037253,0.7447058823529412,185.98000000000002,-1.4800000000000182,69.6,56.599999999999994,6.959999999999999,5.659999999999999,26.0,141.77809,114.54450988769531,173.64705882352942,185.98000000000002
00-0031236,2025,Brandin Cooks,BUF,15,8.551882352941176,111.67,6.959999999999999,10.852941176470589,11.2,10.0,17.0,11.0,26.0,0.5968045112781954,20.044982698961938,62.588235294117645,1.0,5.4,2.6,25.9,0.3,0.08723747980613894,0.1387005031721724,0.22794657192972906,0.6980000000000001,101.02,-31.42,64.7,50.2,4.3133333333333335,3.3466666666666667,29.0,44.916603,30.575615882873535,111.35999999999999,101.02
00-0031381,2024,Davante Adams,NYJ,14,17.418823529411764,296.12,15.611764705882354,19.735294117647058,21.311764705882354,17.0,17.0,10.0,26.0,0.5742268041237113,18.02076124567474,57.05882352941177,1.0,10.294117647058824,6.0588235294117645,67.29411764705883,0.47058823529411764,0.3295668549905838,0.45003560408260146,0.8093752053436967,0.9211764705882353,297.23,-31.829999999999984,241.29999999999998,198.79999999999998,17.235714285714284,14.2,85.0,180.96689,149.85832977294922,249.78823529411767,297.23
00-0031381,2025,Davante Adams,LA,17,16.998487394957984,257.95,17.235714285714284,15.611764705882354,19.735294117647058,14.0,17.0,11.0,26.0,0.6264189886480909,19.224913494809687,57.0,1.0,10.071428571428571,6.071428571428571,75.92857142857143,0.5714285714285714,0.23938879456706283,0.2956609485368315,0.5660458558263762,0.9178571428571428,241.7,-0.4000000000000057,258.4,222.89999999999998,15.2,13.11176470588235,71.0,218.99706,179.52836227416992,275.77142857142854,241.7
00-0031408,2024,Mike Evans,TB,15,16.33923976608187,295.15,16.789473684210527,15.05,17.505555555555556,19.0,16.0,10.0,26.0,0.5718085106382979,19.959752321981426,59.36842105263158,0.0,8.157894736842104,4.7368421052631575,76.3157894736842,0.7368421052631579,0.2483974358974359,0.41551142750093667,0.6634541530968094,0.7910526315789473,279.61,39.389999999999986,262.6,222.10000000000002,17.506666666666668,14.806666666666668,81.0,213.34799,173.9251937866211,268.63157894736844,279.61
00-0031408,2025,Mike Evans,TB,8,17.04584210526316,277.34000000000003,17.506666666666668,16.789473684210527,15.05,15.0,19.0,11.0,26.0,0.5374087591240876,23.950980392156865,60.888888888888886,0.0,7.8,5.4,73.06666666666666,0.8,0.20172413793103447,0.33458458458458457,0.5367954161057609,0.722,235.28,27.32000000000002,84.8,69.8,10.6,8.725,30.0,265.88077,220.12089920043945,280.1066666666667,235.28
00-0031428,2024,Allen Robinson,DET,6,5.7170000000000005,73.29,4.075,8.49,7.25,16.0,10.0,6.0,26.0,0.5165876777251185,18.84313725490196,58.611111111111114,1.0,3.25,2.25,18.25,0.0,0.09961685823754789,0.09385194479297365,0.21512164871140338,0.705,76.73,-11.530000000000001,6.0,4.5,1.0,0.75,3.0,32.084385,23.284820556640625,65.2,76.73
00-0031544,2024,Amari Cooper,BUF,16,14.605551470588235,238.02999999999997,14.80625,14.470588235294118,13.80625,16.0,17.0,9.0,26.0,0.554635761589404,20.88562091503268,67.11111111111111,1.0,8.3125,4.75,81.8125,0.3125,0.2078125,0.35547240411599623,0.5605494328811974,0.7925,216.78,20.120000000000005,132.8,107.80000000000001,8.3,6.737500000000001,50.0,232.00854,193.39345932006836,236.9,216.78
00-0031549,2024,Nelson Agholor,BAL,15,6.026095238095238,99.9,6.177777777777778,5.371428571428572,7.08,18.0,14.0,9.0,26.0,0.4800347222222222,22.526315789473685,60.63157894736842,0.0,2.888888888888889,2.111111111111111,24.0,0.2777777777777778,0.09923664122137404,0.10998233215547704,0.225842594340895,0.5205263157894737,91.33,19.870000000000005,52.6,45.1,3.506666666666667,3.006666666666667,15.0,103.61556,87.09458541870117,98.84444444444445,91.33
00-0031588,2024,Stefon Diggs,HOU,8,16.503070175438594,307.85,15.357894736842105,19.02777777777778,15.799999999999999,19.0,18.0,9.0,26.0,0.525974025974026,22.495356037151705,64.84210526315789,1.0,9.31578947368421,6.157894736842105,66.10526315789474,0.42105263157894735,0.2896890343698854,0.35298726738491676,0.6816246387242698,0.8189473684210526,296.0,-4.199999999999989,121.92,98.42,15.24,12.3025,47.0,284.8757,230.93044662475586,245.7263157894737,296.0
00-0031588,2025,Stefon Diggs,NE,21,15.654146198830409,194.942,15.24,15.357894736842105,19.02777777777778,8.0,19.0,10.0,26.0,0.5593971631205674,20.758513931888547,59.36842105263158,1.0,8.0,5.875,62.0,0.375,0.10543657331136738,0.1112,0.23599485996705108,0.7837500000000001,112.5,9.420000000000002,241.3,191.8,11.49047619047619,9.133333333333335,99.0,141.13657,112.96864700317383,243.84,112.5
00-0031763,2024,DeAndre Carter,CHI,13,2.817843137254902,49.87,0.5705882352941176,6.555555555555555,5.088235294117647,17.0,18.0,6.0,26.0,0.5742268041237113,18.02076124567474,57.05882352941177,1.0,0.4117647058823529,0.23529411764705882,2.2941176470588234,0.0,0.013182674199623353,0.0009494422027059103,0.020438620841329167,0.09999999999999999,13.15,-3.450000000000001,16.2,11.7,1.2461538461538462,0.8999999999999999,9.0,34.833138,28.828015327453613,9.129411764705882,13.15
00-0031763,2025,DeAndre Carter,CLE,4,1.5744243338360986,24.43,1.2461538461538462,0.5705882352941176,6.555555555555555,13.0,17.0,7.0,26.0,0.567703109327984,18.290657439446367,58.64705882352941,1.0,1.0769230769230769,0.6923076923076923,5.538461538461538,0.0,0.026615969581749048,0.037197024238060955,0.06596187133926623,0.13999999999999999,23.069999999999997,-6.869999999999997,0.0,0.0,0.0,0.0,0.0,7.3263707,7.326370716094971,19.93846153846154,23.069999999999997
00-0031941,2024,Jamison Crowder,WAS,8,3.2354166666666666,37.31,2.3687500000000004,3.0,9.141666666666667,16.0,4.0,9.0,26.0,0.6398390342052314,19.951557093425606,58.470588235294116,0.0,1.25,1.0,9.9375,0.0625,0.033277870216306155,0.02800734618916437,0.06952194765687429,0.1188235294117647,30.05,7.850000000000005,34.1,28.1,4.2625,3.5125,12.0,0.0,-0.969273567199707,37.900000000000006,30.05
00-0032211,2024,Tyler Lockett,SEA,17,13.049926470588236,220.33999999999997,11.905882352941177,14.658823529411764,15.0875,17.0,17.0,9.0,26.0,0.6008359456635318,19.885813148788927,56.294117647058826,0.0,7.176470588235294,4.647058823529412,52.588235294117645,0.29411764705882354,0.2230347349177331,0.3282025819265144,0.5642939097251597,0.7994117647058824,208.98000000000002,-6.5800000000000125,121.0,96.5,7.117647058823529,5.676470588235294,49.0,166.94875,134.31932067871094,190.49411764705883,208.98000000000002
00-0032211,2025,Tyler Lockett,LV,17,9.308235294117647,158.24,7.117647058823529,11.905882352941177,14.658823529411764,17.0,17.0,10.0,26.0,0.6082051282051282,20.775086505190313,57.35294117647059,1.0,4.352941176470588,2.8823529411764706,35.294117647058826,0.11764705882352941,0.13005272407732865,0.19381188118811882,0.33074740294767613,0.6905882352941176,129.19,-8.189999999999998,67.1,51.099999999999994,3.9470588235294115,3.005882352941176,32.0,56.353943,48.09950923919678,113.88235294117646,129.19
00-0032385,2024,Sterling Shepard,TB,13,3.4971428571428573,30.21428571428572,2.23,0.0,11.1,10.0,0.0,1.0,26.0,0.5329218106995884,18.079584775086506,57.1764705882353,1.0,2.2,1.0,5.7,0.1,0.045454545454545456,0.044432102193835046,0.09928428971750271,0.15200000000000002,41.7,-19.400000000000002,80.3,64.3,6.176923076923076,4.946153846153846,32.0,31.213022,23.938745498657227,35.68,41.7
00-0032385,2025,Sterling Shepard,TB,13,4.861282051282052,60.96666666666667,6.176923076923076,2.23,0.0,13.0,10.0,2.0,26.0,0.5374087591240876,23.950980392156865,60.888888888888886,0.0,3.923076923076923,2.4615384615384617,25.692307692307693,0.07692307692307693,0.08793103448275862,0.11836836836836837,0.21475440958199576,0.5346666666666666,95.19,-14.89,82.0,62.5,6.3076923076923075,4.8076923076923075,39.0,93.78416,77.68254852294922,98.83076923076922,95.19
00-0032464,2024,Kalif Raymond,DET,13,6.315735294117648,106.53999999999999,5.729411764705882,6.835294117647059,8.275,17.0,17.0,5.0,26.0,0.5537509667440061,23.808823529411764,64.65,0.0,2.588235294117647,2.0588235294117645,28.764705882352942,0.058823529411764705,0.06489675516224189,0.08137583892617449,0.15430821999168498,0.2952941176470588,80.61,16.790000000000006,63.2,53.2,4.861538461538462,4.092307692307693,20.0,80.26695,63.51962852478027,91.67058823529412,80.61
00-0032464,2025,Kalif Raymond,DET,15,5.319276018099547,78.76,4.861538461538462,5.729411764705882,6.835294117647059,13.0,17.0,6.0,26.0,0.516100957354221,25.245098039215687,63.833333333333336,0.0,1.9230769230769231,1.5384615384615385,19.384615384615383,0.15384615384615385,0.044722719141323794,0.04958027282266527,0.10179026968785138,0.2823076923076923,46.81,16.39,66.8,54.8,4.453333333333333,3.6533333333333333,24.0,81.54296,66.31110954284668,77.78461538461539,46.81
00-0032775,2024,Demarcus Robinson,LA,19,8.855882352941176,99.99,10.533333333333333,6.864705882352942,4.764705882352941,9.0,17.0,8.0,26.0,0.5561545372866128,22.15686274509804,61.833333333333336,0.0,5.0,3.2222222222222223,46.111111111111114,0.4444444444444444,0.07640067911714771,0.1293916023993145,0.2051751403552417,0.3876470588235294,86.82,7.980000000000004,137.2,119.69999999999999,7.221052631578947,6.3,35.0,102.52142,85.60357093811035,168.53333333333333,86.82
00-0032775,2025,Demarcus Robinson,SF,16,8.179102167182661,122.42999999999999,7.221052631578947,10.533333333333333,6.864705882352942,19.0,9.0,9.0,26.0,0.5609973285841496,20.41795665634675,59.10526315789474,1.0,3.8421052631578947,1.8421052631578947,31.68421052631579,0.3684210526315789,0.11947626841243862,0.24586643762078592,0.35132090895320806,0.8163157894736842,144.48,-7.280000000000001,82.4,67.9,5.15,4.24375,29.0,45.405178,33.855950355529785,115.53684210526315,144.48
00-0033009,2024,Tyler Boyd,TEN,15,9.065288235294117,163.10000000000002,8.51764705882353,9.58,10.806999999999999,17.0,19.0,8.0,26.0,0.6162324649298597,20.013840830449826,58.705882352941174,1.0,5.764705882352941,3.9411764705882355,39.23529411764706,0.11764705882352941,0.16554054054054054,0.16836188436830835,0.3661641298686266,0.7605882352941177,153.81,-9.009999999999991,78.3,58.8,5.22,3.92,39.0,130.71545,107.50934982299805,136.28235294117647,153.81
00-0033040,2024,Tyreek Hill,MIA,17,21.680764705882353,380.02,23.15294117647059,19.866666666666667,18.29,17.0,18.0,8.0,26.0,0.5617455896007428,23.794117647058826,59.833333333333336,0.0,10.529411764705882,7.294117647058823,109.47058823529412,0.8235294117647058,0.3134851138353765,0.4258605472197705,0.7683300538069042,0.6723529411764706,336.07,57.53000000000003,218.2,177.7,12.835294117647058,10.452941176470588,81.0,311.12277,254.81603240966797,370.44705882352946,336.07
00-0033040,2025,Tyreek Hill,MIA,4,16.633725490196078,284.76,12.835294117647058,23.15294117647059,19.866666666666667,17.0,17.0,9.0,26.0,0.5749027237354085,20.11764705882353,60.470588235294116,0.0,7.176470588235294,4.764705882352941,56.411764705882355,0.35294117647058826,0.21942446043165467,0.3808066759388039,0.5957013638046447,0.7988235294117647,226.02,-7.820000000000022,53.5,43.0,13.375,10.75,21.0,243.66156,206.57405471801758,205.36470588235292,226.02
00-0033282,2024,Curtis Samuel,BUF,17,9.202176470588235,148.19,9.825,10.370588235294118,1.9600000000000002,16.0,17.0,7.0,26.0,0.6398390342052314,19.951557093425606,58.470588235294116,1.0,5.6875,3.875,38.3125,0.25,0.15141430948419302,0.13728191000918274,0.32321880123271746,0.56375,153.44,3.759999999999991,89.8,71.3,5.2823529411764705,4.194117647058824,37.0,113.41888,85.76688194274902,157.2,153.44
00-0033282,2025,Curtis Samuel,BUF,7,7.153970588235294,118.66999999999999,5.2823529411764705,9.825,10.370588235294118,17.0,16.0,8.0,26.0,0.5008319467554077,21.47352941176471,60.1,0.0,3.176470588235294,2.176470588235294,19.647058823529413,0.17647058823529413,0.0944055944055944,0.052409129332206254,0.178294782140936,0.3941176470588235,91.32,-1.519999999999996,22.3,18.3,3.185714285714286,2.6142857142857143,8.0,128.29979,105.01168060302734,84.51764705882353,91.32
00-0033307,2024,Kendrick Bourne,NE,12,10.31451388888889,107.35,12.5,5.51875,11.58888888888889,8.0,16.0,7.0,26.0,0.573045267489712,17.366782006920417,57.1764705882353,0.0,6.875,4.625,50.75,0.5,0.10166358595194085,0.14353588397099276,0.25297049770760616,0.73,90.65,9.349999999999994,65.1,51.099999999999994,5.425,4.258333333333333,28.0,149.30722,127.23355102539062,200.0,90.65
00-0033307,2025,Kendrick Bourne,SF,15,7.556875,77.89,5.425,12.5,5.51875,12.0,8.0,8.0,26.0,0.5436793422404933,18.356401384083046,57.23529411764706,1.0,3.1666666666666665,2.3333333333333335,25.416666666666668,0.08333333333333333,0.07630522088353414,0.09532811234134486,0.1811875099642426,0.5833333333333334,57.78,7.319999999999993,92.10000000000001,73.60000000000001,6.140000000000001,4.906666666666667,37.0,68.501045,55.49421691894531,86.8,57.78
00-0033375,2025,Tim Patrick,JAX,14,5.9750000000000005,95.60000000000001,5.9750000000000005,0.0,0.0,16.0,0.0,1.0,26.0,0.516100957354221,25.245098039215687,63.833333333333336,1.0,3.0,2.125,26.0,0.1875,0.08586762075134168,0.12959076600209862,0.21951496732848153,0.5823529411764706,100.35,-4.749999999999986,51.7,44.2,3.692857142857143,3.1571428571428575,15.0,115.4036,96.5622787475586,95.60000000000001,100.35
00-0033555,2024,Mack Hollins,BUF,20,5.2774705882352935,78.13799999999999,3.591666666666667,9.068235294117647,4.02,12.0,17.0,5.0,26.0,0.5038022813688213,20.53287197231834,61.88235294117647,1.0,2.5,1.5,20.916666666666668,0.0,0.0594059405940594,0.08949880668257756,0.1517580755688934,0.3961538461538462,48.37,-5.269999999999996,120.2,102.2,6.01,5.11,36.0,51.275097,43.061729431152344,57.46666666666667,48.37
00-0033555,2025,Mack Hollins,NE,16,5.590323529411765,100.46600000000001,6.01,3.591666666666667,9.068235294117647,20.0,12.0,6.0,26.0,0.5008319467554077,21.47352941176471,60.1,1.0,2.9,1.8,24.1,0.3,0.10139860139860139,0.17011834319526628,0.27118074233458844,0.6599999999999999,110.66,9.540000000000006,138.3,112.30000000000001,8.64375,7.018750000000001,52.0,78.50963,65.7520055770874,96.16,110.66
