player_id,player_display_name,team,season,position,projected_games_played,projected_ppr_per_game,projected_ppr,projected_receptions,projected_half_ppr,projected_half_ppr_per_game,ci_low,ci_high,position_rank,is_rookie,draft_round,draft_pick,is_sleeper,baseline_pts,baseline_rank,vbd,vbd_rank_overall,tier,consensus_rank,rank_diff,label
00-0036275,D'Andre Swift,CHI,2026.0,RB,,11.283092942215008,180.52948707544013,29.822012139606937,165.61848100563668,10.351155062852293,146.878688684316,200.48851916898695,15.0,False,,,,147.86696529171712,24.0,32.66252178372301,46,3,23.59,-22.41,bust
00-0033090,Hunter Henry,NE,2026.0,TE,,10.667657852172852,170.68252563476562,63.35905838012695,139.00299644470215,8.687687277793884,130.80108642578125,174.27130126953125,4.0,False,,,,140.54624938964844,12.0,30.136276245117188,47,1,18.75,-28.25,bust
00-0036971,Trevor Lawrence,JAX,2026.0,QB,14.914669,19.590818405151367,292.1905822753906,0.2108410894870758,292.0851617306471,18.255322608165443,268.6827392578125,320.69708251953125,4.0,False,,,,262.61468505859375,12.0,29.575897216796875,48,1,9.72,-38.28,bust
00-0031588,Stefon Diggs,NE,2026.0,WR,,10.910435676574707,174.5669708251953,62.353580474853516,143.39018058776855,8.961886286735535,146.66432189941406,192.43421936035156,25.0,False,,,,145.698974609375,36.0,28.867996215820312,49,4,58.16,9.159999999999997,
00-0039915,Ladd McConkey,LAC,2026.0,WR,,10.735055923461914,171.76089477539062,59.66297149658203,141.9294090270996,8.870588064193726,139.27964782714844,187.94418334960938,26.0,False,,,,145.698974609375,36.0,26.061920166015625,50,4,18.65,-31.35,bust
00-0034857,Josh Allen,BUF,2026.0,QB,15.870506,18.122995376586914,287.6211242675781,0.2837812602519989,287.4792336374521,17.967452102340758,283.631591796875,330.03814697265625,5.0,False,,,,262.61468505859375,12.0,25.006439208984375,51,1,1.03,-49.97,bust
00-0037744,Trey McBride,ARI,2026.0,TE,,10.26755142211914,164.28082275390625,56.38983917236328,136.0859031677246,8.505368947982788,126.68412780761719,189.0818328857422,5.0,False,,,,140.54624938964844,12.0,23.734573364257812,52,1,1.28,-50.72,bust
00-0037240,Jameson Williams,DET,2026.0,WR,,10.480828285217285,167.69325256347656,58.398799896240234,138.49385261535645,8.655865788459778,152.37655639648438,191.02015686035156,27.0,False,,,,145.698974609375,36.0,21.994277954101562,53,4,25.5,-27.5,bust
00-0036442,Joe Burrow,CIN,2026.0,QB,15.719637,18.074981689453125,284.13214111328125,0.31460127234458923,283.97484047710896,17.74842752981931,258.927001953125,288.44952392578125,6.0,False,,,,262.61468505859375,12.0,21.5174560546875,54,1,4.53,-49.47,bust
00-0036040,Juwan Johnson,NO,2026.0,TE,,10.124975204467773,161.99960327148438,64.83512115478516,129.5820426940918,8.098877668380737,137.38824462890625,181.1910400390625,6.0,False,,,,140.54624938964844,12.0,21.453353881835938,55,1,16.0,-39.0,bust
00-0039338,Brock Bowers,LV,2026.0,TE,,10.0288724899292,160.4619598388672,52.963993072509766,133.9799633026123,8.373747706413269,132.0921173095703,184.15037536621094,7.0,False,,,,140.54624938964844,12.0,19.91571044921875,56,1,1.72,-54.28,bust
00-0033873,Patrick Mahomes,KC,2026.0,QB,15.57886,18.12335777282715,282.34124755859375,0.2861274480819702,282.19818383455276,17.637386489659548,266.28515625,302.30950927734375,7.0,False,,,,262.61468505859375,12.0,19.7265625,57,1,,,
00-0037664,Alec Pierce,IND,2026.0,WR,,10.268484115600586,164.29574584960938,50.19984817504883,139.19582176208496,8.69973886013031,139.29855346679688,183.28724670410156,28.0,False,,,,145.698974609375,36.0,18.596771240234375,58,4,36.76,-21.240000000000002,bust
00-0038994,Jordan Addison,MIN,2026.0,WR,,10.244539260864258,163.91262817382812,52.967018127441406,137.42911911010742,8.589319944381714,122.91268920898438,165.7443084716797,29.0,False,,,,145.698974609375,36.0,18.213653564453125,59,4,44.15,-14.850000000000001,
00-0040734,TreVeyon Henderson,NE,2026.0,RB,,10.349389266967775,165.5902282714844,28.90134563446045,151.13955545425415,9.446222215890884,143.20881988525392,194.36431304931642,16.0,False,,,,147.86696529171712,24.0,17.72326297976727,60,4,21.91,-38.09,bust
00-0038606,Parker Washington,JAX,2026.0,WR,,10.177348136901855,162.8375701904297,48.818275451660156,138.4284324645996,8.651777029037476,130.19212341308594,165.61924743652344,30.0,False,,,,145.698974609375,36.0,17.138595581054688,61,4,43.21,-17.79,
,Carnell Tate,TEN,,WR,,,162.52055731546653,,,,,,,True,1.0,4.0,True,145.698974609375,36.0,16.821582706091533,62,4,33.33,-28.67,bust
00-0040666,Omarion Hampton,LAC,2026.0,RB,,10.19490439414978,163.1184703063965,36.46081104278564,144.88806478500368,9.05550404906273,156.27367584228517,203.70632629394532,17.0,False,,,,147.86696529171712,24.0,15.251505014679367,63,4,9.35,-53.65,bust
00-0031408,Mike Evans,SF,2026.0,WR,,10.035233497619629,160.56373596191406,45.832305908203125,137.6475830078125,8.602973937988281,109.72453308105469,152.9750518798828,31.0,False,,,,145.698974609375,36.0,14.864761352539062,64,4,24.5,-39.5,bust
00-0039794,Braelon Allen,NYJ,2026.0,RB,,9.98712272644043,159.7939636230469,26.35554895401001,146.61618914604188,9.163511821627617,114.04769927978516,175.68339843750002,18.0,False,,,,147.86696529171712,24.0,11.92699833132977,65,4,52.91,-12.090000000000003,
00-0039918,Caleb Williams,CHI,2026.0,QB,13.934372,19.669208526611328,274.07806396484375,0.26810428500175476,273.9440118223429,17.12150073889643,241.9148712158203,286.9665222167969,8.0,False,,,,262.61468505859375,12.0,11.46337890625,66,1,9.14,-56.86,bust
00-0035710,Daniel Jones,IND,2026.0,QB,16.132803,16.977445602416992,273.893798828125,0.4450179934501648,273.6712898313999,17.104455614462495,241.63174438476562,277.42059326171875,9.0,False,,,,262.61468505859375,12.0,11.27911376953125,67,1,25.72,-41.28,bust
,Jadarian Price,SEA,,RB,,,158.60724461146765,,,,,,,True,1.0,32.0,False,147.86696529171712,24.0,10.740279319750528,68,4,29.88,-38.120000000000005,bust
00-0039868,Troy Franklin,DEN,2026.0,WR,,9.743118286132812,155.889892578125,46.16907501220703,132.80535507202148,8.300334692001343,108.58309173583984,154.669921875,32.0,False,,,,145.698974609375,36.0,10.19091796875,69,4,70.76,1.7600000000000051,
00-0030506,Travis Kelce,KC,2026.0,TE,,9.38000202178955,150.0800323486328,63.58439636230469,118.28783416748047,7.392989635467529,119.6496810913086,170.76780700683594,8.0,False,,,,140.54624938964844,12.0,9.533782958984375,70,2,12.06,-57.94,bust
00-0037834,Brock Purdy,SF,2026.0,QB,15.209051,17.85829734802246,271.6077575683594,0.037638626992702484,271.588938254863,16.97430864092894,256.1230163574219,297.08697509765625,10.0,False,,,,262.61468505859375,12.0,8.993072509765625,71,1,11.75,-59.25,bust
00-0037840,Kyren Williams,LA,2026.0,RB,,9.779563865119835,156.47302184191736,26.815165898886388,143.06543889247416,8.941589930779635,143.03862817637648,205.47575006755227,19.0,False,,,,147.86696529171712,24.0,8.606056550200236,72,4,16.71,-55.29,bust
00-0040179,DJ Giddens,IND,2026.0,RB,,9.700832948684692,155.21332717895507,12.654867086410523,148.88589363574982,9.305368352234364,66.39789321899414,154.47227600097656,20.0,False,,,,147.86696529171712,24.0,7.346361887237947,73,4,80.89,7.890000000000001,
