player_id,player_display_name,team,season,position,projected_games_played,projected_ppr_per_game,projected_ppr,projected_receptions,projected_half_ppr,projected_half_ppr_per_game,ci_low,ci_high,position_rank,is_rookie,baseline_pts,baseline_rank,vbd,vbd_rank_overall,tier
00-0036963,Amon-Ra St. Brown,DET,2025,WR,,21.847129821777344,349.5540771484375,122.6943588256836,288.2068977355957,18.01293110847473,275.61419677734375,359.4239501953125,1,False,133.30779266357422,36.0,154.89910507202148,1,1
00-0039040,De'Von Achane,MIA,2025,RB,,18.77986406326294,300.47782501220706,59.45077220916748,270.7524389076233,16.922027431726455,260.46847961425783,318.2103713989258,1,False,130.98082172154238,24.0,139.7716171860809,2,1
00-0039361,Bucky Irving,TB,2025,RB,,17.86994245529175,285.919079284668,54.3639213180542,258.7371186256409,16.171069914102556,214.44789855957032,302.7688269042969,2,False,130.98082172154238,24.0,127.75629690409852,3,1
00-0037248,James Cook,BUF,2025,RB,,16.44991457016806,263.19863312268893,36.42366402682828,244.9868011092748,15.311675069329675,224.79000452969845,281.1124292455904,3,False,130.98082172154238,24.0,114.00597938773242,4,1
00-0036322,Justin Jefferson,MIN,2025,WR,,18.400901794433594,294.4144287109375,110.07028198242188,239.37928771972656,14.96120548248291,241.32916259765625,310.7041015625,2,False,133.30779266357422,36.0,106.07149505615234,5,2
00-0036358,CeeDee Lamb,DAL,2025,WR,,17.218994140625,275.50390625,79.13581085205078,235.9360008239746,14.746000051498413,220.14060974121094,300.7315673828125,3,False,133.30779266357422,36.0,102.62820816040039,6,2
00-0039337,Malik Nabers,NYG,2025,WR,,17.140535354614258,274.2485656738281,90.57112884521484,228.9630012512207,14.310187578201294,231.49411010742188,291.5044860839844,4,False,133.30779266357422,36.0,95.65520858764648,7,2
00-0036223,Jonathan Taylor,IND,2025,RB,,14.901720226374007,238.4275236219841,30.034627500647638,223.41020987166027,13.963138116978767,196.80554507653082,242.0160293087186,4,False,130.98082172154238,24.0,92.42938815011789,8,1
00-0036912,DeVonta Smith,PHI,2025,WR,,16.823301315307617,269.1728210449219,88.85265350341797,224.7464942932129,14.046655893325806,221.56509399414062,283.0799255371094,6,False,133.30779266357422,36.0,91.43870162963867,9,2
00-0037840,Kyren Williams,LA,2025,RB,,14.882574451904768,238.12119123047628,31.528392336569283,222.35699506219163,13.897312191386977,208.62297051776363,261.5964208896645,5,False,130.98082172154238,24.0,91.37617334064925,10,1
00-0036900,Ja'Marr Chase,CIN,2025,WR,,17.044763565063477,272.7162170410156,96.17642211914062,224.6280059814453,14.039250373840332,230.0680389404297,307.27874755859375,5,False,133.30779266357422,36.0,91.3202133178711,11,2
00-0035700,Josh Jacobs,GB,2025,RB,,14.567930196433098,233.08688314292957,24.504253618957083,220.83475633345103,13.802172270840689,188.76322989023197,232.66354628451307,8,False,130.98082172154238,24.0,89.85393461190864,12,1
00-0039915,Ladd McConkey,LAC,2025,WR,,16.57267951965332,265.1628723144531,89.95362854003906,220.1860580444336,13.7616286277771,232.472412109375,289.75445556640625,8,False,133.30779266357422,36.0,86.87826538085938,13,2
00-0039075,Puka Nacua,LA,2025,WR,,16.697729110717773,267.1636657714844,97.671630859375,218.32785034179688,13.645490646362305,250.53897094726562,318.68017578125,7,False,133.30779266357422,36.0,85.02005767822266,14,2
00-0036389,Jalen Hurts,PHI,2025,QB,15.753728,22.576618194580078,355.6658935546875,0.26297932863235474,355.5344038903713,22.220900243148208,303.965087890625,347.3765563964844,1,False,271.01972246170044,12.0,84.51468142867088,15,1
00-0039139,Jahmyr Gibbs,DET,2025,RB,,14.830090045928955,237.28144073486328,52.02169918060303,211.27059114456176,13.20441194653511,210.7641114807129,290.65145904541015,6,False,130.98082172154238,24.0,80.28976942301938,16,1
00-0035676,A.J. Brown,PHI,2025,WR,,15.775647163391113,252.4103546142578,80.46556091308594,212.17757415771484,13.261098384857178,229.39675903320312,294.207275390625,11,False,133.30779266357422,36.0,78.86978149414062,17,2
00-0038542,Bijan Robinson,ATL,2025,RB,,14.363824129104614,229.82118606567383,41.63760776519776,209.00238218307496,13.062648886442185,232.43354431152343,288.31968841552737,9,False,130.98082172154238,24.0,78.02156046153257,18,1
00-0036410,Tee Higgins,CIN,2025,WR,,15.577685356140137,249.2429656982422,78.93988800048828,209.77302169799805,13.110813856124878,211.58348083496094,248.2098846435547,12,False,133.30779266357422,36.0,76.46522903442383,19,2
00-0037238,Drake London,ATL,2025,WR,,16.066234588623047,257.05975341796875,95.00164031982422,209.55893325805664,13.09743332862854,223.3264923095703,274.2230529785156,9,False,133.30779266357422,36.0,76.25114059448242,20,2
00-0039893,Brian Thomas Jr.,JAX,2025,WR,,15.985986709594727,255.77578735351562,95.4621353149414,208.04471969604492,13.002794981002808,226.45651245117188,265.41204833984375,10,False,133.30779266357422,36.0,74.7369270324707,21,2
00-0038120,Breece Hall,NYJ,2025,RB,,14.594447841644287,233.5111654663086,58.047853775024414,204.4872385787964,12.780452411174775,216.40684112548828,275.03740966796875,7,False,130.98082172154238,24.0,73.50641685725401,22,1
00-0033906,Alvin Kamara,NO,2025,RB,,14.0086514802733,224.1384236843728,47.26037092155337,200.50823822359612,12.531764888974758,163.00297502020302,223.0054962667874,10,False,130.98082172154238,24.0,69.52741650205374,23,1
00-0033288,George Kittle,SF,2025,TE,,13.14322566986084,210.29161071777344,73.53266906738281,173.52527618408203,10.845329761505127,179.54762268066406,232.69683837890625,1,False,105.7999382019043,12.0,67.72533798217773,24,1
00-0038994,Jordan Addison,MIN,2025,WR,,15.005391120910645,240.0862579345703,79.69712829589844,200.2376937866211,12.514855861663818,198.49349975585938,246.88223266601562,13,False,133.30779266357422,36.0,66.92990112304688,25,2
00-0039067,Rashee Rice,KC,2025,WR,,14.79491138458252,236.7185821533203,76.81925964355469,198.30895233154297,12.394309520721436,175.49151611328125,251.62362670898438,15,False,133.30779266357422,36.0,65.00115966796875,26,2
00-0036554,Nico Collins,HOU,2025,WR,,14.83693790435791,237.39100646972656,83.33084869384766,195.72558212280273,12.232848882675171,227.30364990234375,285.94036865234375,14,False,133.30779266357422,36.0,62.417789459228516,27,2
00-0038134,Kenneth Walker III,SEA,2025,RB,,13.391581478118896,214.26530364990234,44.47749061584473,192.02655834197998,12.001659896373749,196.04566986083984,248.72603012084963,11,False,130.98082172154238,24.0,61.045736620437594,28,1
00-0034857,Josh Allen,BUF,2025,QB,17.0,19.48832893371582,331.3016052246094,0.28922274708747864,331.15699385106564,20.697312115691602,320.0719299316406,360.6414794921875,2,False,271.01972246170044,12.0,60.137271389365196,29,1
00-0034796,Lamar Jackson,BAL,2025,QB,17.0,19.32485008239746,328.5224609375,1.081089973449707,327.98191595077515,20.498869746923447,318.001220703125,378.57275390625,3,False,271.01972246170044,12.0,56.96219348907471,30,1
00-0039910,Jayden Daniels,WAS,2025,QB,15.270323,21.459203720092773,327.68896484375,0.0680580586194992,327.65493581444025,20.478433488402516,307.3709716796875,346.8350524902344,4,False,271.01972246170044,12.0,56.63521335273981,31,1
00-0039732,Bo Nix,DEN,2025,QB,15.593119,20.99036979675293,327.3053283691406,0.2726556062698364,327.1690005660057,20.448062535375357,294.643310546875,336.9949645996094,5,False,271.01972246170044,12.0,56.14927810430527,32,1
00-0033873,Patrick Mahomes,KC,2025,QB,16.158764,20.20291519165039,326.4541320800781,0.16799506545066833,326.3701345473528,20.39813340920955,299.1065979003906,338.3833923339844,6,False,271.01972246170044,12.0,55.35041208565235,33,1
00-0039894,Xavier Worthy,KC,2025,WR,,14.260899543762207,228.1743927001953,81.34159088134766,187.50359725952148,11.718974828720093,201.49612426757812,249.98452758789062,16,False,133.30779266357422,36.0,54.195804595947266,34,2
00-0035659,Terry McLaurin,WAS,2025,WR,,13.759194374084473,220.14710998535156,69.27318572998047,185.51051712036133,11.594407320022583,190.31723022460938,250.06935119628906,19,False,133.30779266357422,36.0,52.20272445678711,35,2
00-0033280,Christian McCaffrey,SF,2025,RB,,12.317043405946684,197.07269449514695,36.155404750816146,178.99499211973887,11.18718700748368,166.03083576199782,216.10380155496776,12,False,130.98082172154238,24.0,48.014170398196484,36,1
00-0034827,DJ Moore,CHI,2025,WR,,13.893402099609375,222.29443359375,82.58573913574219,181.0015640258789,11.312597751617432,200.89166259765625,248.55943298339844,17,False,133.30779266357422,36.0,47.69377136230469,37,2
00-0031408,Mike Evans,TB,2025,WR,,13.789268493652344,220.6282958984375,81.42886352539062,179.9138641357422,11.244616508483887,215.32032775878906,262.8127746582031,18,False,133.30779266357422,36.0,46.60607147216797,38,2
00-0033897,Joe Mixon,HOU,2025,RB,,11.952926670716773,191.24682673146836,29.737163516442145,176.3782449732473,11.023640310827956,161.215152839175,195.76349995450562,15,False,130.98082172154238,24.0,45.39742325170491,39,1
00-0039849,Marvin Harrison Jr.,ARI,2025,WR,,13.395756721496582,214.3321075439453,73.78031921386719,177.44194793701172,11.090121746063232,178.02838134765625,231.10206604003906,20,False,133.30779266357422,36.0,44.1341552734375,40,2
00-0038597,Chase Brown,CIN,2025,RB,,12.188389036255613,195.0142245800898,42.10980230463277,173.95932342777343,10.87245771423584,166.64005171225546,212.63441938563457,13,False,130.98082172154238,24.0,42.97850170623104,41,1
00-0033858,Jonnu Smith,MIA,2025,TE,,11.428215026855469,182.8514404296875,73.90029907226562,145.9012908935547,9.118830680847168,149.96136474609375,200.777587890625,2,False,105.7999382019043,12.0,40.10135269165039,42,2
00-0036970,Kyle Pitts,ATL,2025,TE,,11.1757173538208,178.8114776611328,68.99691772460938,144.31301879882812,9.019563674926758,141.0889892578125,182.0095672607422,3,False,105.7999382019043,12.0,38.51308059692383,43,2
00-0039384,Tyrone Tracy Jr.,NYG,2025,RB,,11.352628833802086,181.64206134083338,24.955560838867758,169.1642809213995,10.572767557587468,136.7060003848014,198.4047643280552,16,False,130.98082172154238,24.0,38.18345919985711,44,1
00-0039065,Sam LaPorta,DET,2025,TE,,11.002974510192871,176.04759216308594,64.77860260009766,143.6582908630371,8.97864317893982,150.67156982421875,196.83021545410156,4,False,105.7999382019043,12.0,37.85835266113281,45,2
00-0038543,Jaxon Smith-Njigba,SEA,2025,WR,,13.127310752868652,210.03697204589844,78.64273834228516,170.71560287475586,10.669725179672241,185.94276428222656,225.77894592285156,21,False,133.30779266357422,36.0,37.40781021118164,46,2
00-0037256,Rachaad White,TB,2025,RB,,12.002506099579517,192.04009759327226,47.777109856053954,168.15154266524527,10.50947141657783,167.92831635273458,214.9017075885248,14,False,130.98082172154238,24.0,37.17072094370289,47,1
00-0034351,Dallas Goedert,PHI,2025,TE,,10.727182388305664,171.63491821289062,63.30059814453125,139.984619140625,8.749038696289062,139.1382598876953,183.5269775390625,5,False,105.7999382019043,12.0,34.1846809387207,48,2
00-0037247,George Pickens,PIT,2025,WR,,12.351495742797852,197.62393188476562,65.50878143310547,164.8695411682129,10.304346323013306,170.06259155273438,216.5923614501953,22,False,133.30779266357422,36.0,31.561748504638672,49,2
00-0034844,Saquon Barkley,PHI,2025,RB,,11.067666915264299,177.08267064422878,32.756712893382236,160.70431419753768,10.044019637346105,152.88326995964493,218.58454824960697,17,False,130.98082172154238,24.0,29.7234924759953,50,1
00-0039851,Drake Maye,NE,2025,QB,16.072754,18.634958267211914,299.5151062011719,0.32243168354034424,299.3538903594017,18.709618147462606,235.6782989501953,289.94207763671875,7,False,271.01972246170044,12.0,28.334167897701263,51,1
00-0034753,Mark Andrews,BAL,2025,TE,,9.999526977539062,159.992431640625,53.65858459472656,133.16313934326172,8.322696208953857,133.3015899658203,188.86349487304688,6,False,105.7999382019043,12.0,27.363201141357422,52,2
00-0033040,Tyreek Hill,MIA,2025,WR,,12.202146530151367,195.23434448242188,72.274169921875,159.09725952148438,9.943578720092773,188.38465881347656,227.8467254638672,24,False,133.30779266357422,36.0,25.789466857910156,53,2
00-0039064,Zay Flowers,BAL,2025,WR,,12.211668014526367,195.38668823242188,77.54557800292969,156.61389923095703,9.788368701934814,195.1964569091797,244.35330200195312,23,False,133.30779266357422,36.0,23.306106567382812,54,2
00-0034837,Calvin Ridley,TEN,2025,WR,,11.539212226867676,184.6273956298828,57.2873420715332,155.9837245941162,9.748982787132263,143.2540740966797,189.6656951904297,27,False,133.30779266357422,36.0,22.675931930541992,55,2
00-0037740,Garrett Wilson,NYJ,2025,WR,,12.162578582763672,194.60125732421875,78.63593292236328,155.2832908630371,9.70520567893982,180.1387939453125,229.69500732421875,25,False,133.30779266357422,36.0,21.97549819946289,56,2
00-0036555,Chuba Hubbard,CAR,2025,RB,,10.494750031308717,167.91600050093948,32.95222489251901,151.43988805467998,9.464993003417499,133.0052797427951,190.17015075286722,18,False,130.98082172154238,24.0,20.4590663331376,57,1
00-0036275,D'Andre Swift,CHI,2025,RB,,10.343242268670021,165.49187629872034,28.430840721704794,151.27645593786795,9.454778496116747,149.20312070069778,181.48522926429786,19,False,130.98082172154238,24.0,20.295634216325567,58,1
00-0033921,Chris Godwin Jr.,TB,2025,WR,,12.024274826049805,192.38839721679688,79.64210510253906,152.56734466552734,9.535459041595459,173.07345581054688,233.186279296875,26,False,133.30779266357422,36.0,19.259552001953125,59,2
00-0037744,Trey McBride,ARI,2025,TE,,9.57259464263916,153.16151428222656,59.12046432495117,123.60128211975098,7.725080132484436,131.31719970703125,195.82122802734375,7,False,105.7999382019043,12.0,17.80134391784668,60,2
00-0037267,Jerome Ford,CLE,2025,RB,,10.294969268664362,164.7195082986298,34.13804003682225,147.65048828021867,9.228155517513667,124.64098137251733,175.59496345305917,20,False,130.98082172154238,24.0,16.669666558676283,61,1
00-0036139,Rico Dowdle,DAL,2025,RB,,10.087575824314564,161.40121318903303,29.224631023720306,146.78889767717288,9.174306104823305,137.43362731400947,173.40140570857932,22,False,130.98082172154238,24.0,15.8080759556305,62,1
00-0039165,Zach Charbonnet,SEA,2025,RB,,10.18931519508362,163.0290431213379,33.63358394622803,146.21225114822388,9.138265696763993,146.62082061767578,184.4206544494629,21,False,130.98082172154238,24.0,15.231429426681501,63,1
00-0035640,DK Metcalf,SEA,2025,WR,,11.182939529418945,178.92703247070312,63.494590759277344,147.17973709106445,9.198733568191528,163.21156311035156,205.0784912109375,29,False,133.30779266357422,36.0,13.871944427490234,64,2
00-0031381,Davante Adams,NYJ,2025,WR,,11.257960319519043,180.1273651123047,66.55889892578125,146.84791564941406,9.177994728088379,165.47044372558594,205.1673583984375,28,False,133.30779266357422,36.0,13.540122985839844,65,2
00-0034855,Baker Mayfield,TB,2025,QB,15.928398,17.859155654907227,284.4677429199219,0.47507238388061523,284.23020672798157,17.764387920498848,286.95599365234375,318.2791748046875,8,False,271.01972246170044,12.0,13.210484266281128,66,1
00-0036252,Michael Pittman,IND,2025,WR,,11.055925369262695,176.89480590820312,62.85027313232422,145.46966934204102,9.091854333877563,147.2070770263672,214.01629638671875,30,False,133.30779266357422,36.0,12.161876678466797,67,2
00-0035685,David Montgomery,DET,2025,RB,,9.857888084956018,157.7262093592963,31.33178580242995,142.0603164580813,8.878769778630081,145.59531782021023,193.0477883293888,23,False,130.98082172154238,24.0,11.07949473653892,68,1
00-0030061,Zach Ertz,WAS,2025,TE,,8.933499336242676,142.9359893798828,55.18838119506836,115.34179878234863,7.2088624238967896,112.038330078125,160.40652465820312,8,False,105.7999382019043,12.0,9.541860580444336,69,2
00-0036259,Jauan Jennings,SF,2025,WR,,10.781869888305664,172.50991821289062,59.838523864746094,142.59065628051758,8.911916017532349,139.93768310546875,183.8461151123047,31,False,133.30779266357422,36.0,9.28286361694336,70,2
00-0036442,Joe Burrow,CIN,2025,QB,15.65912,17.910219192504883,280.458251953125,0.40360918641090393,280.25644735991955,17.51602795999497,262.6954345703125,293.8154602050781,9,False,271.01972246170044,12.0,9.236724898219109,71,1
00-0036613,Jaylen Waddle,MIA,2025,WR,,10.760370254516602,172.16592407226562,59.77009582519531,142.28087615966797,8.892554759979248,141.130859375,187.65432739257812,32,False,133.30779266357422,36.0,8.97308349609375,72,2
00-0039338,Brock Bowers,LV,2025,TE,,8.898092269897461,142.36947631835938,59.763858795166016,112.48754692077637,7.030471682548523,158.51284790039062,211.3849334716797,9,False,105.7999382019043,12.0,6.68760871887207,73,2
00-0038996,Tucker Kraft,GB,2025,TE,,8.77087688446045,140.3340301513672,56.88832092285156,111.8898696899414,6.993116855621338,124.56837463378906,165.597900390625,10,False,105.7999382019043,12.0,6.089931488037109,74,2
00-0039855,Jalen McMillan,TB,2025,WR,,10.238598823547363,163.8175811767578,53.71882629394531,136.95816802978516,8.559885501861572,134.330322265625,185.94110107421875,37,False,133.30779266357422,36.0,3.6503753662109375,75,2
00-0039163,C.J. Stroud,HOU,2025,QB,16.105574,17.069181442260742,274.9089660644531,0.5887996554374695,274.6145662367344,17.1634103897959,234.5801239013672,287.4656066894531,10,False,271.01972246170044,12.0,3.594843775033951,76,1
00-0037838,Isaiah Likely,BAL,2025,TE,,8.2326078414917,131.7217254638672,47.23452377319336,108.10446357727051,6.756528973579407,95.92190551757812,154.25143432617188,12,False,105.7999382019043,12.0,2.304525375366211,77,2
00-0033908,Cooper Kupp,LA,2025,WR,,10.598366737365723,169.57386779785156,69.5427017211914,134.80251693725586,8.425157308578491,147.32376098632812,199.31190490722656,33,False,133.30779266357422,36.0,1.4947242736816406,78,2
00-0037240,Jameson Williams,DET,2025,WR,,10.273180961608887,164.3708953857422,59.88177490234375,134.4300079345703,8.401875495910645,141.99981689453125,184.34274291992188,35,False,133.30779266357422,36.0,1.1222152709960938,79,2
00-0035228,Kyler Murray,ARI,2025,QB,15.686312,17.340150833129883,272.0030212402344,0.03804589435458183,271.9839982930571,16.998999893316068,252.0594482421875,302.0867004394531,11,False,271.01972246170044,12.0,0.9642758313566446,80,1
00-0037834,Brock Purdy,SF,2025,QB,16.30586,16.628366470336914,271.13983154296875,0.2402181625366211,271.01972246170044,16.938732653856277,259.55377197265625,289.4913330078125,12,False,271.01972246170044,12.0,0.0,81,1
00-0032764,Derrick Henry,BAL,2025,RB,,8.849316531774688,141.589064508395,21.2164855737053,130.98082172154238,8.186301357596399,122.63017535408746,193.82842587804564,25,False,130.98082172154238,24.0,0.0,82,1
00-0038544,Quentin Johnston,LAC,2025,WR,,10.34450912475586,165.51214599609375,64.40870666503906,133.30779266357422,8.331737041473389,144.0408477783203,199.29615783691406,34,False,133.30779266357422,36.0,0.0,83,2
00-0035229,T.J. Hockenson,MIN,2025,TE,,8.448217391967773,135.17147827148438,58.743080139160156,105.7999382019043,6.6124961376190186,124.12738800048828,171.7545166015625,11,False,105.7999382019043,12.0,0.0,84,2
00-0038393,Dontayvion Wicks,GB,2025,WR,,9.906338691711426,158.5014190673828,53.09218215942383,131.9553279876709,8.247207999229431,111.65875244140625,165.20933532714844,39,False,133.30779266357422,36.0,-1.3524646759033203,85,2
00-0036407,Jerry Jeudy,CLE,2025,WR,,10.272439002990723,164.35902404785156,70.70051574707031,129.0087661743164,8.063047885894775,167.77064514160156,203.4992218017578,36,False,133.30779266357422,36.0,-4.2990264892578125,86,2
00-0037228,Jaylen Warren,PIT,2025,RB,,8.756158679580949,140.09853887329518,27.428658659149733,126.38420954372033,7.899013096482521,94.35309765543536,148.5566050905075,26,False,130.98082172154238,24.0,-4.596612177822053,87,1
00-0038041,Jake Ferguson,DAL,2025,TE,,7.6114068031311035,121.78250885009766,41.388893127441406,101.08806228637695,6.31800389289856,99.62081909179688,142.36671447753906,15,False,105.7999382019043,12.0,-4.711875915527344,88,2
00-0036973,Travis Etienne,JAX,2025,RB,,8.888945073396028,142.22312117433646,32.95048860049917,125.74787687408688,7.85924230463043,97.9159848894541,155.71867073868498,24,False,130.98082172154238,24.0,-5.232944847455499,89,1
00-0034960,Jakobi Meyers,LV,2025,WR,,10.12458610534668,161.99337768554688,68.69412231445312,127.64631652832031,7.9778947830200195,153.77093505859375,198.54544067382812,38,False,133.30779266357422,36.0,-5.661476135253906,90,2
00-0037816,Romeo Doubs,GB,2025,WR,,9.89757251739502,158.3611602783203,63.04645919799805,126.83793067932129,7.927370667457581,141.01023864746094,180.51669311523438,40,False,133.30779266357422,36.0,-6.46986198425293,91,2
00-0033881,Evan Engram,JAX,2025,TE,,7.798326015472412,124.7732162475586,51.97368621826172,98.78637313842773,6.174148321151733,86.42887878417969,137.34390258789062,13,False,105.7999382019043,12.0,-7.0135650634765625,92,2
00-0039146,Jayden Reed,GB,2025,WR,,9.641507148742676,154.2641143798828,56.221290588378906,126.15346908569336,7.884591817855835,142.78802490234375,184.95652770996094,42,False,133.30779266357422,36.0,-7.154323577880859,93,2
00-0030279,Keenan Allen,CHI,2025,WR,,9.783868789672852,156.54190063476562,61.923095703125,125.58035278320312,7.848772048950195,135.10125732421875,197.3572540283203,41,False,133.30779266357422,36.0,-7.727439880371094,94,2
00-0038129,Cade Otton,TB,2025,TE,,7.624256134033203,121.98809814453125,52.307533264160156,95.83433151245117,5.989645719528198,102.31849670410156,140.96157836914062,14,False,105.7999382019043,12.0,-9.965606689453125,95,2
00-0033885,David Njoku,CLE,2025,TE,,7.407054901123047,118.51287841796875,48.764244079589844,94.13075637817383,5.883172273635864,94.33930206298828,136.7200164794922,16,False,105.7999382019043,12.0,-11.669181823730469,96,2
00-0033106,Jared Goff,DET,2025,QB,14.677831,17.595447540283203,258.26300048828125,0.11242922395467758,258.2067858763039,16.137924117268994,231.89889526367188,278.7984313964844,13,False,271.01972246170044,12.0,-12.812936585396528,97,1
00-0034383,Dalton Schultz,HOU,2025,TE,,7.335404396057129,117.36647033691406,49.5200080871582,92.60646629333496,5.787904143333435,97.8479995727539,132.7568817138672,17,False,105.7999382019043,12.0,-13.193471908569336,98,2
00-0038559,Michael Wilson,ARI,2025,WR,,8.912640571594238,142.6022491455078,45.0752067565918,120.06464576721191,7.504040360450745,117.45979309082031,153.90281677246094,46,False,133.30779266357422,36.0,-13.243146896362305,99,2
00-0036894,Pat Freiermuth,PIT,2025,TE,,7.30286169052124,116.84578704833984,49.020484924316406,92.33554458618164,5.7709715366363525,109.13288116455078,158.76791381835938,18,False,105.7999382019043,12.0,-13.464393615722656,100,2
