player_id,player_display_name,team,season,position,projected_games_played,projected_ppr_per_game,projected_ppr,projected_receptions,projected_half_ppr,projected_half_ppr_per_game,ci_low,ci_high,position_rank,is_rookie,baseline_pts,baseline_rank,vbd,vbd_rank_overall,tier,consensus_rank,rank_diff,label
00-0033955,Jeremy McNichols,WAS,2026,RB,,6.20977487579753,99.35639801276048,21.766389532696294,88.47320324641234,5.529575202900771,60.48786248585037,106.56529200935755,51,False,127.62753663002343,24.0,-39.15433338361109,162,3,340.0,178.0,sleeper
00-0038547,Luke Schoonmaker,DAL,2026,TE,,2.799927234649658,44.79883575439453,14.086376190185547,37.75564765930176,2.35972797870636,35.7198371887207,60.79594421386719,60,False,115.28140640258789,12.0,-77.52575874328613,265,1,341.0,76.0,sleeper
00-0031236,Brandin Cooks,BUF,2026,WR,,3.933623790740967,62.93798065185547,25.622390747070312,50.12678527832031,3.1329240798950195,50.493709564208984,88.59172058105469,109,False,130.66782760620117,36.0,-80.54104232788086,276,3,301.0,25.0,sleeper
00-0032398,Chris Moore,WAS,2026,WR,,1.9009443521499634,30.415109634399414,9.205710411071777,25.812254428863525,1.6132659018039703,21.33861541748047,55.7084846496582,159,False,130.66782760620117,36.0,-104.85557317733765,390,3,500.0,110.0,sleeper
