player_id,season,player_display_name,team,games_played,ppr_pg_weighted,ppr_total_weighted,ppr_pg_last,ppr_pg_2yr_ago,ppr_pg_3yr_ago,games_played_last,games_played_2yr_ago,career_seasons,age_at_season_start,team_pass_rate_last,team_pts_per_game_last,team_plays_per_game_last,team_changed_offseason,targets_pg_last,receptions_pg_last,rec_yds_pg_last,rec_tds_pg_last,target_share_last,air_yards_share_last,snap_pct_last,xfp_ppr_last,ppr_minus_xfp_last,fantasy_points_ppr,fantasy_points_half_ppr,fantasy_points_ppr_per_game,fantasy_points_half_ppr_per_game,receptions,projected_ppr,projected_half_ppr,naive_proj,xfp_proj
00-0024243,2024,Marcedes Lewis,CHI,5,2.9299999999999997,20.06,2.15,4.433333333333334,3.1,6.0,6.0,12.0,26.0,0.4937439846005775,20.048442906574394,61.11764705882353,0.0,0.8333333333333334,0.6666666666666666,4.833333333333333,0.16666666666666666,0.010615711252653927,0.0025869502730669733,0.28764705882352937,10.809999999999999,2.09,1.2,0.7,0.24,0.13999999999999999,1.0,32.491013,26.44334840774536,34.4,10.809999999999999
00-0030061,2024,Zach Ertz,WAS,20,8.931650793650794,84.28,7.385714285714286,11.56,10.322222222222223,7.0,10.0,11.0,26.0,0.5419921875,20.01038062283737,60.23529411764706,1.0,6.142857142857143,3.857142857142857,26.714285714285715,0.14285714285714285,0.07962962962962963,0.08419984783160031,0.6485714285714286,68.14,-16.439999999999998,216.9,174.9,10.845,8.745000000000001,84.0,69.46505,52.64195251464844,118.17142857142858,68.14
00-0030061,2025,Zach Ertz,WAS,13,9.878714285714286,157.20999999999998,10.845,7.385714285714286,11.56,20.0,7.0,12.0,26.0,0.5051383399209486,22.75294117647059,63.25,0.0,5.8,4.2,40.45,0.4,0.18985270049099837,0.187117903930131,0.674,216.75,0.15000000000000568,126.4,101.4,9.723076923076924,7.800000000000001,50.0,151.92122,122.96260452270508,173.52,216.75
00-0030506,2024,Travis Kelce,KC,19,17.316999999999997,334.918,16.073684210526313,19.65,17.777894736842107,19.0,20.0,10.0,26.0,0.5931818181818181,21.6218487394958,62.857142857142854,0.0,8.31578947368421,6.578947368421052,70.47368421052632,0.42105263157894735,0.2161422708618331,0.21761658031088082,0.7842105263157895,276.73,28.66999999999996,231.9,176.9,12.205263157894738,9.310526315789474,110.0,284.53903,228.5578384399414,257.178947368421,276.73
00-0030506,2025,Travis Kelce,KC,17,14.110263157894735,270.06,12.205263157894738,16.073684210526313,19.65,19.0,19.0,11.0,26.0,0.5696413678065054,19.9,59.95,0.0,7.947368421052632,5.7894736842105265,52.526315789473685,0.21052631578947367,0.23195084485407066,0.23478260869565218,0.8505263157894737,259.19,-27.289999999999992,193.2,155.2,11.36470588235294,9.129411764705882,76.0,108.739075,78.0301628112793,195.2842105263158,259.19
00-0031484,2024,Chris Manhertz,NYG,8,0.8395714285714286,7.13,0.5142857142857143,1.1333333333333333,1.9100000000000001,7.0,9.0,4.0,26.0,0.5360501567398119,18.570934256055363,56.294117647058826,1.0,0.5714285714285714,0.2857142857142857,2.2857142857142856,0.0,0.008438818565400843,0.003531489111241907,0.36375,7.4799999999999995,-3.8799999999999994,12.0,10.5,1.5,1.3125,3.0,7.1868877,5.0936455726623535,8.22857142857143,7.4799999999999995
00-0031484,2025,Chris Manhertz,NYG,4,1.1676190476190476,9.299999999999999,1.5,0.5142857142857143,1.1333333333333333,8.0,7.0,5.0,26.0,0.5828402366863905,18.318339100346023,59.64705882352941,0.0,0.5,0.375,3.75,0.125,0.007220216606498195,0.003878975950349108,0.30823529411764705,7.61,4.39,1.7000000000000002,1.2000000000000002,0.42500000000000004,0.30000000000000004,1.0,11.637197,9.632651805877686,24.0,7.61
00-0031585,2024,MyCole Pruitt,PIT,7,3.695,36.95,2.6,5.5,4.85,10.0,10.0,6.0,26.0,0.5038022813688213,20.53287197231834,61.88235294117647,1.0,1.2,0.9,11.0,0.1,0.023762376237623763,0.014797136038186158,0.35352941176470587,22.92,3.0799999999999983,16.0,13.0,2.2857142857142856,1.8571428571428572,6.0,50.358727,39.4383020401001,41.6,22.92
00-0032392,2024,Austin Hooper,NE,17,4.150490196078431,67.50999999999999,3.025,5.729411764705882,6.166666666666667,16.0,17.0,8.0,26.0,0.5742268041237113,18.02076124567474,57.05882352941177,1.0,1.9375,1.5625,14.625,0.0,0.0583804143126177,0.030856871587942085,0.5211764705882352,46.57,1.8299999999999983,108.60000000000001,86.10000000000001,6.3882352941176475,5.064705882352942,45.0,33.60538,25.014631271362305,48.4,46.57
00-0032392,2025,Austin Hooper,NE,16,5.313382352941177,89.42,6.3882352941176475,3.025,5.729411764705882,17.0,16.0,9.0,26.0,0.5436793422404933,18.356401384083046,57.23529411764706,0.0,3.4705882352941178,2.6470588235294117,28.0,0.17647058823529413,0.11847389558232932,0.10423980556305698,0.5252941176470588,93.23,15.370000000000005,64.7,52.7,4.04375,3.29375,24.0,34.29961,23.772812843322754,102.21176470588236,93.23
00-0033090,2024,Hunter Henry,NE,16,8.471971153846154,119.94,9.223076923076924,6.49375,9.9,13.0,16.0,5.0,26.0,0.573045267489712,17.366782006920417,57.1764705882353,0.0,4.6923076923076925,3.230769230769231,32.23076923076923,0.46153846153846156,0.11275415896487985,0.1345336334083521,0.7478571428571429,102.57,17.330000000000013,145.4,112.4,9.0875,7.025,66.0,66.804085,48.23517608642578,147.56923076923078,102.57
00-0033090,2025,Hunter Henry,NE,21,8.868798076923078,133.6,9.0875,9.223076923076924,6.49375,16.0,13.0,6.0,26.0,0.5436793422404933,18.356401384083046,57.23529411764706,0.0,6.0625,4.125,42.125,0.125,0.19477911646586346,0.18417499324871725,0.80625,150.4,-5.0,205.0,170.5,9.761904761904763,8.119047619047619,69.0,79.59358,61.30503273010254,145.4,150.4
00-0033110,2024,Tyler Higbee,LA,5,7.8493055555555555,127.44999999999999,6.78125,9.5,9.305555555555555,16.0,16.0,8.0,26.0,0.5561545372866128,22.15686274509804,61.833333333333336,0.0,4.4375,2.9375,30.9375,0.125,0.12054329371816638,0.08911739502999143,0.8525,116.77,-8.269999999999996,55.8,45.8,11.16,9.16,20.0,111.838135,88.82518196105957,108.5,116.77
00-0033110,2025,Tyler Higbee,LA,13,9.680375,81.22999999999999,11.16,6.78125,9.5,5.0,16.0,9.0,26.0,0.5609973285841496,20.41795665634675,59.10526315789474,0.0,5.4,4.0,35.6,0.6,0.044189852700491,0.017822632596091903,0.40599999999999997,48.78,7.019999999999996,83.5,69.0,6.423076923076923,5.3076923076923075,29.0,67.28368,55.898475646972656,178.56,48.78
00-0033217,2024,Mo Alie-Cox,IND,12,3.727521008403361,53.589999999999996,3.507142857142857,3.85,4.68235294117647,14.0,14.0,6.0,26.0,0.5451092117758785,20.557093425605537,61.94117647058823,0.0,1.5714285714285714,0.9285714285714286,11.5,0.21428571428571427,0.040293040293040296,0.054093567251461985,0.3870588235294118,42.68,6.420000000000002,32.7,26.700000000000003,2.725,2.225,12.0,53.234745,44.51760387420654,56.114285714285714,42.68
00-0033217,2025,Mo Alie-Cox,IND,11,3.072142857142857,39.74,2.725,3.507142857142857,3.85,12.0,14.0,7.0,26.0,0.5084241823587711,20.51903114186851,59.35294117647059,0.0,1.8333333333333333,1.0,12.25,0.08333333333333333,0.044715447154471545,0.04043694902261403,0.43823529411764706,42.66,-9.959999999999994,30.7,24.2,2.790909090909091,2.1999999999999997,13.0,34.37581,25.944915771484375,43.6,42.66
00-0033246,2024,Johnny Mundt,MIN,15,3.660952380952382,40.53333333333334,4.0200000000000005,2.942857142857143,0.0,10.0,14.0,2.0,26.0,0.6168132942326491,21.612456747404845,60.1764705882353,0.0,2.3,1.7,17.2,0.1,0.038525963149078725,0.02373022481265612,0.2064705882352941,35.01,5.190000000000005,50.0,39.5,3.3333333333333335,2.6333333333333333,21.0,26.392424,20.507988929748535,64.32000000000001,35.01
00-0033246,2025,Johnny Mundt,JAX,12,3.5002857142857144,46.18,3.3333333333333335,4.0200000000000005,2.942857142857143,15.0,10.0,3.0,26.0,0.5521126760563381,21.486928104575163,59.166666666666664,1.0,2.0,1.4,11.333333333333334,0.13333333333333333,0.05454545454545454,0.025740551583248214,0.3927777777777778,53.72,-3.719999999999999,20.1,15.600000000000001,1.675,1.3,9.0,52.072113,42.666441917419434,53.333333333333336,53.72
00-0033288,2024,George Kittle,SF,15,12.339004127966977,228.01,12.021052631578948,12.738888888888889,13.047058823529412,19.0,18.0,7.0,26.0,0.5084745762711864,23.9,59.0,0.0,5.421052631578948,3.8421052631578947,59.578947368421055,0.3684210526315789,0.18659420289855072,0.2171066986689941,0.9,184.34,44.06,236.6,197.6,15.773333333333333,13.173333333333334,78.0,220.54478,181.71600723266602,192.33684210526317,184.34
00-0033288,2025,George Kittle,SF,12,14.344204678362573,233.40999999999997,15.773333333333333,12.021052631578948,12.738888888888889,15.0,19.0,8.0,26.0,0.5411167512690356,22.70242214532872,57.94117647058823,0.0,6.266666666666667,5.2,73.73333333333333,0.5333333333333333,0.1950207468879668,0.18925952211970665,0.866,177.77,58.829999999999984,163.1,134.1,13.591666666666667,11.174999999999999,58.0,231.29102,195.6551170349121,252.37333333333333,177.77
