player_id,season,player_display_name,team,games_played,ppr_pg_weighted,ppr_total_weighted,ppr_pg_last,ppr_pg_2yr_ago,ppr_pg_3yr_ago,games_played_last,games_played_2yr_ago,career_seasons,age_at_season_start,team_pass_rate_last,team_pts_per_game_last,team_plays_per_game_last,team_changed_offseason,pass_att_pg_last,pass_tds_pg_last,pass_yds_pg_last,rush_att_pg_last,rush_yds_pg_last,xfp_ppr_last,ppr_minus_xfp_last,pass_tds_regressed_last,yards_per_attempt_last,ppr_pg_slope_last_3,fantasy_points_ppr,fantasy_points_half_ppr,fantasy_points_ppr_per_game,fantasy_points_half_ppr_per_game,receptions,projected_ppr,projected_half_ppr,naive_proj,xfp_proj
00-0023459,2025,Aaron Rodgers,PIT,17,14.94689075630252,254.09714285714287,15.092941176470587,0.0,14.070588235294117,17.0,0.0,1.0,26.0,0.6264189886480909,19.224913494809687,57.0,1.0,34.35294117647059,1.6470588235294117,229.23529411764707,1.2941176470588236,6.294117647058823,262.42,-5.840000000000032,1.6212484993997598,6.6729452054794525,0.5111764705882349,228.92,228.42,13.465882352941176,13.436470588235293,1.0,163.71,163.5419856607914,241.4870588235294,262.42
00-0026158,2024,Joe Flacco,IND,7,15.936000000000003,92.39333333333335,19.07,9.668000000000001,0.0,6.0,5.0,2.0,26.0,0.554635761589404,20.88562091503268,67.11111111111111,1.0,41.666666666666664,2.3333333333333335,320.5,2.0,2.5,110.87,3.549999999999997,2.1296296296296298,7.692,9.402,99.04,99.04,14.14857142857143,14.14857142857143,0.0,187.31386,187.17298193275928,305.12,110.87
00-0026158,2025,Joe Flacco,CIN,13,15.176942857142858,98.584,14.14857142857143,19.07,9.668000000000001,7.0,6.0,3.0,26.0,0.5084241823587711,20.51903114186851,59.35294117647059,1.0,35.42857142857143,1.7142857142857142,251.57142857142858,1.2857142857142858,3.7142857142857144,117.51,-18.47,1.6607142857142858,7.100806451612903,2.240285714285714,146.66,146.66,11.281538461538462,11.281538461538462,0.0,126.6909,126.48034839332104,226.37714285714287,117.51
00-0026498,2024,Matthew Stafford,LA,18,15.595892857142857,234.328,16.61125,12.042222222222223,20.164761904761903,16.0,9.0,12.0,26.0,0.5561545372866128,22.15686274509804,61.833333333333336,0.0,34.8125,1.625,270.75,1.3125,4.0625,296.34,-30.560000000000002,1.6095607661822986,7.77737881508079,-1.7767559523809524,250.3,250.3,13.905555555555557,13.905555555555557,0.0,238.54303,238.53730368381366,265.78,296.34
00-0026498,2025,Matthew Stafford,LA,20,14.530930555555557,240.752,13.905555555555557,16.61125,12.042222222222223,18.0,16.0,13.0,26.0,0.5609973285841496,20.41795665634675,59.10526315789474,0.0,32.666666666666664,1.3333333333333333,238.61111111111111,1.8888888888888888,2.5,273.40999999999997,-23.109999999999957,1.368020304568528,7.304421768707483,0.9316666666666666,411.32,411.32,20.566,20.566,0.0,209.1289,209.07261640951037,222.4888888888889,273.40999999999997
00-0027973,2025,Andy Dalton,CAR,4,10.200816326530614,75.42857142857143,9.826666666666666,0.0,12.445714285714287,6.0,0.0,1.0,26.0,0.5706806282722513,18.301038062283737,56.1764705882353,0.0,26.666666666666668,1.1666666666666667,164.83333333333334,1.8333333333333333,5.666666666666667,72.16,-13.199999999999996,1.1851851851851853,6.18125,-1.3095238095238102,9.52,9.52,2.38,2.38,0.0,99.72769,99.72346569923684,157.22666666666666,72.16
00-0029263,2024,Russell Wilson,PIT,12,16.52562857142857,246.14999999999998,17.126666666666665,15.050666666666666,17.344285714285714,15.0,15.0,12.0,26.0,0.5360501567398119,18.570934256055363,56.294117647058826,1.0,29.8,1.7333333333333334,204.66666666666666,5.333333333333333,22.733333333333334,257.55,-0.6500000000000341,1.6120556414219473,6.868008948545861,-0.10880952380952458,192.18,192.18,16.015,16.015,0.0,169.79616,169.74674551188946,274.02666666666664,257.55
00-0029263,2025,Russell Wilson,NYG,6,16.252066666666664,214.95399999999998,16.015,17.126666666666665,15.050666666666666,12.0,15.0,13.0,26.0,0.4925373134328358,19.84313725490196,59.55555555555556,1.0,30.416666666666668,1.5,229.33333333333334,3.8333333333333335,13.416666666666666,173.25,18.930000000000007,1.4535398230088497,7.53972602739726,0.4821666666666671,49.839999999999996,49.839999999999996,8.306666666666667,8.306666666666667,0.0,146.15854,145.96722230315208,256.24,173.25
00-0029604,2024,Kirk Cousins,ATL,14,18.397625,215.09799999999998,18.7175,17.633333333333333,18.77125,8.0,18.0,12.0,26.0,0.6168132942326491,21.612456747404845,60.1764705882353,1.0,38.875,2.25,291.375,1.75,3.125,160.86,-11.120000000000005,2.054060665362035,7.495176848874598,-0.02687499999999865,176.32,176.32,12.594285714285714,12.594285714285714,0.0,214.57697,214.54991442523897,299.48,160.86
00-0029604,2025,Kirk Cousins,ATL,10,14.935154761904762,182.45399999999998,12.594285714285714,18.7175,17.633333333333333,14.0,8.0,13.0,26.0,0.530360531309298,22.498269896193772,62.0,0.0,32.357142857142854,1.2857142857142858,250.57142857142858,1.6428571428571428,0.0,185.35999999999999,-9.039999999999992,1.3378910522861518,7.743929359823399,-2.5195238095238093,103.54,103.54,10.354000000000001,10.354000000000001,0.0,196.5128,196.48554301448166,201.50857142857143,185.35999999999999
00-0030565,2024,Geno Smith,SEA,17,15.794066666666666,238.024,15.150666666666666,17.822222222222223,13.57,15.0,18.0,3.0,26.0,0.6008359456635318,19.885813148788927,56.294117647058826,0.0,33.266666666666666,1.3333333333333333,241.6,2.466666666666667,10.333333333333334,244.21,-16.950000000000017,1.3801621363853125,7.2625250501002006,0.7903333333333329,266.0,266.0,15.647058823529411,15.647058823529411,0.0,217.52477,217.39836005866528,242.41066666666666,244.21
