player_display_name,position,team,our_model_rank,our_projected_points,fp_ecr_rank,sleeper_adp,consensus_blend_rank,diff_our_vs_blend,diff_our_vs_fp
Ryan Flournoy,WR,DAL,395,,77.0,,236.0,159.0,318.0
Mason Tipton,WR,NO,396,,,,396.0,0.0,
Jordan Whittington,WR,LA,397,,113.0,,255.0,142.0,284.0
Quintin Morris,TE,BUF,398,,95.0,,246.5,151.5,303.0
JaMycal Hasty,RB,NE,399,,176.0,,287.5,111.5,223.0
Jamari Thrash,WR,CLE,400,,181.0,,290.5,109.5,219.0
Parris Campbell,WR,PHI,401,,223.0,,312.0,89.0,178.0
Joe Flacco,QB,IND,402,,45.0,,223.5,178.5,357.0
Zay Jones,WR,ARI,403,,176.0,,289.5,113.5,227.0
Xavier Gipson,WR,NYJ,404,,229.0,,316.5,87.5,175.0
JuJu Smith-Schuster,WR,KC,405,,168.0,,286.5,118.5,237.0
Scott Miller,WR,PIT,406,,,,406.0,0.0,
Jalen Reagor,WR,LAC,407,,239.0,,323.0,84.0,168.0
Tylan Wallace,WR,BAL,408,,187.0,,297.5,110.5,221.0
Isaiah Williams,WR,CIN,409,,153.0,,281.0,128.0,256.0
Jamison Crowder,WR,WAS,410,,,,410.0,0.0,
Dee Eskridge,WR,MIA,411,,234.0,,322.5,88.5,177.0
Travis Homer,RB,CHI,412,,179.0,,295.5,116.5,233.0
Adam Prentice,RB,NO,413,,,,413.0,0.0,
Cedrick Wilson Jr.,WR,NO,414,,208.0,,311.0,103.0,206.0
Ben Skowronek,WR,PIT,415,,206.0,,310.5,104.5,209.0
Bryce Oliver,WR,TEN,416,,,,416.0,0.0,
Tim Jones,WR,JAX,417,,,,417.0,0.0,
Javon Baker,WR,NE,418,,166.0,,292.0,126.0,252.0
Mecole Hardman,WR,KC,419,,221.0,,320.0,99.0,198.0
Irvin Charles,WR,NYJ,420,,,,420.0,0.0,
Allen Robinson,WR,DET,421,,,,421.0,0.0,
Braxton Berrios,WR,MIA,422,,221.0,,321.5,100.5,201.0
Ashton Dulin,WR,IND,423,,178.0,,300.5,122.5,245.0
Jameis Winston,QB,CLE,424,,41.0,,232.5,191.5,383.0
Terrace Marshall Jr.,WR,LV,425,,204.0,,314.5,110.5,221.0
Russell Wilson,QB,PIT,426,,53.0,,239.5,186.5,373.0
Devin Duvernay,WR,JAX,427,,209.0,,318.0,109.0,218.0
Dan Chisena,WR,CAR,428,,,,428.0,0.0,
DJ Turner,WR,LV,429,,,,429.0,0.0,
Malachi Corley,WR,NYJ,430,,166.0,,298.0,132.0,264.0
Jake Bobo,WR,SEA,431,,159.0,,295.0,136.0,272.0
Robert Woods,WR,HOU,432,,,,432.0,0.0,
River Cracraft,WR,MIA,433,,,,433.0,0.0,
Nikko Remigio,WR,KC,434,,,,434.0,0.0,
Xavier Smith,WR,LA,435,,181.0,,308.0,127.0,254.0
Rakim Jarrett,WR,TB,436,,,,436.0,0.0,
Treylon Burks,WR,TEN,437,,108.0,,272.5,164.5,329.0
James Proche,WR,CLE,438,,,,438.0,0.0,
Daniel Jones,QB,NYG,439,,25.0,,232.0,207.0,414.0
Dareke Young,WR,SEA,440,,,,440.0,0.0,
Bryce Ford-Wheaton,WR,NYG,441,,235.0,,338.0,103.0,206.0
Anthony Gould,WR,IND,442,,,,442.0,0.0,
KhaDarel Hodge,WR,ATL,443,,,,443.0,0.0,
Collin Johnson,WR,CHI,444,,,,444.0,0.0,
Jaelon Darden,WR,SEA,445,,,,445.0,0.0,
Alex Bachman,WR,LV,446,,,,446.0,0.0,
Jermaine Jackson,WR,NO,447,,,,447.0,0.0,
Justin Fields,QB,PIT,448,,35.0,,241.5,206.5,413.0
Andy Dalton,QB,CAR,449,,75.0,,262.0,187.0,374.0
Jha'Quan Jackson,WR,TEN,450,,,,450.0,0.0,
Chris Conley,WR,SF,451,,,,451.0,0.0,
Trent Sherfield,WR,MIN,452,,,,452.0,0.0,
Mason Kinsey,WR,TEN,453,,,,453.0,0.0,
Nick Mullens,QB,MIN,454,,72.0,,263.0,191.0,382.0
DeAndre Carter,WR,CHI,455,,232.0,,343.5,111.5,223.0
Trevor Lawrence,QB,JAX,456,,9.0,,232.5,223.5,447.0
Will Levis,QB,TEN,457,,56.0,,256.5,200.5,401.0
Cooper Rush,QB,DAL,458,,67.0,,262.5,195.5,391.0
Kenny Pickett,QB,PHI,459,,55.0,,257.0,202.0,404.0
Desmond Ridder,QB,LV,460,,85.0,,272.5,187.5,375.0
Aidan O'Connell,QB,LV,461,,64.0,,262.5,198.5,397.0
Marcus Mariota,QB,WAS,462,,42.0,,252.0,210.0,420.0
Mitchell Trubisky,QB,BUF,463,,63.0,,263.0,200.0,400.0
Gardner Minshew,QB,LV,464,,44.0,,254.0,210.0,420.0
Drew Lock,QB,NYG,465,,68.0,,266.5,198.5,397.0
Mac Jones,QB,JAX,466,,36.0,,251.0,215.0,430.0
Spencer Rattler,QB,NO,467,,47.0,,257.0,210.0,420.0
Deshaun Watson,QB,CLE,468,,32.0,,250.0,218.0,436.0
Davis Mills,QB,HOU,469,,54.0,,261.5,207.5,415.0
Jacoby Brissett,QB,NE,470,,26.0,,248.0,222.0,444.0
Michael Penix Jr.,QB,ATL,471,,30.0,,250.5,220.5,441.0
Tyson Bagent,QB,CHI,472,,53.0,,262.5,209.5,419.0
Trey Lance,QB,DAL,473,,49.0,,261.0,212.0,424.0
Clayton Tune,QB,ARI,474,,,,474.0,0.0,
Dorian Thompson-Robinson,QB,CLE,475,,88.0,,281.5,193.5,387.0
Mason Rudolph,QB,TEN,476,,60.0,,268.0,208.0,416.0
Taylor Heinicke,QB,LAC,477,,,,477.0,0.0,
Tyler Huntley,QB,MIA,478,,65.0,,271.5,206.5,413.0
Jake Haener,QB,NO,479,,,,479.0,0.0,
Josh Johnson,QB,BAL,480,,93.0,,286.5,193.5,387.0
