player_display_name,position,team,our_model_rank,our_projected_points,fp_ecr_rank,sleeper_adp,consensus_blend_rank,diff_our_vs_blend,diff_our_vs_fp
C.J. Stroud,QB,HOU,76,,18.0,,47.0,29.0,58.0
T.J. Hockenson,TE,MIN,77,,21.0,,49.0,28.0,56.0
Quentin Johnston,WR,LAC,78,,49.0,,63.5,14.5,29.0
Kyler Murray,QB,ARI,79,,16.0,,47.5,31.5,63.0
Jameson Williams,WR,DET,80,,23.0,,51.5,28.5,57.0
Jerry Jeudy,WR,CLE,81,,62.0,,71.5,9.5,19.0
Travis Etienne,RB,JAX,82,,16.0,,49.0,33.0,66.0
Brock Purdy,QB,SF,83,,10.0,,46.5,36.5,73.0
Isaiah Likely,TE,BAL,84,,12.0,,48.0,36.0,72.0
Jalen McMillan,WR,TB,85,,62.0,,73.5,11.5,23.0
Derrick Henry,RB,BAL,86,,11.0,,48.5,37.5,75.0
Jaylen Warren,RB,PIT,87,,26.0,,56.5,30.5,61.0
Jakobi Meyers,WR,LV,88,,37.0,,62.5,25.5,51.0
Dontayvion Wicks,WR,GB,89,,77.0,,83.0,6.0,12.0
Romeo Doubs,WR,GB,90,,49.0,,69.5,20.5,41.0
Evan Engram,TE,JAX,91,,31.0,,61.0,30.0,60.0
Keenan Allen,WR,CHI,92,,95.0,,93.5,-1.5,-3.0
Cade Otton,TE,TB,93,,28.0,,60.5,32.5,65.0
Jake Ferguson,TE,DAL,94,,11.0,,52.5,41.5,83.0
Jayden Reed,WR,GB,95,,46.0,,70.5,24.5,49.0
Braelon Allen,RB,NYJ,96,,50.0,,73.0,23.0,46.0
James Conner,RB,ARI,97,,49.0,,73.0,24.0,48.0
Jared Goff,QB,DET,98,,17.0,,57.5,40.5,81.0
David Njoku,TE,CLE,99,,28.0,,63.5,35.5,71.0
Stefon Diggs,WR,HOU,100,,58.0,,79.0,21.0,42.0
Dak Prescott,QB,DAL,101,,10.0,,55.5,45.5,91.0
Kendre Miller,RB,NO,102,,75.0,,88.5,13.5,27.0
Dalton Schultz,TE,HOU,103,,20.0,,61.5,41.5,83.0
Pat Freiermuth,TE,PIT,104,,26.0,,65.0,39.0,78.0
Najee Harris,RB,PIT,105,,71.0,,88.0,17.0,34.0
DeMario Douglas,WR,NE,106,,105.0,,105.5,0.5,1.0
Josh Downs,WR,IND,107,,45.0,,76.0,31.0,62.0
J.K. Dobbins,RB,LAC,108,,33.0,,70.5,37.5,75.0
Travis Kelce,TE,KC,109,,10.0,,59.5,49.5,99.0
Isaac Guerendo,RB,SF,110,,82.0,,96.0,14.0,28.0
Dalton Kincaid,TE,BUF,111,,11.0,,61.0,50.0,100.0
Tony Pollard,RB,TEN,112,,31.0,,71.5,40.5,81.0
Michael Wilson,WR,ARI,113,,34.0,,73.5,39.5,79.0
Tank Dell,WR,HOU,114,,85.0,,99.5,14.5,29.0
Rome Odunze,WR,CHI,115,,23.0,,69.0,46.0,92.0
Nick Chubb,RB,CLE,116,,99.0,,107.5,8.5,17.0
Amari Cooper,WR,BUF,117,,,,117.0,0.0,
Adam Thielen,WR,CAR,118,,,,118.0,0.0,
Darnell Mooney,WR,ATL,119,,74.0,,96.5,22.5,45.0
Deebo Samuel Sr.,WR,SF,120,,61.0,,90.5,29.5,59.0
Courtland Sutton,WR,DEN,121,,33.0,,77.0,44.0,88.0
Chig Okonkwo,TE,TEN,122,,20.0,,71.0,51.0,102.0
Cole Kmet,TE,CHI,123,,43.0,,83.0,40.0,80.0
Javonte Williams,RB,DEN,124,,15.0,,69.5,54.5,109.0
Taysom Hill,TE,NO,125,,72.0,,98.5,26.5,53.0
Tyler Conklin,TE,NYJ,126,,66.0,,96.0,30.0,60.0
Tua Tagovailoa,QB,MIA,127,,32.0,,79.5,47.5,95.0
Isiah Pacheco,RB,KC,128,,50.0,,89.0,39.0,78.0
Xavier Legette,WR,CAR,129,,95.0,,112.0,17.0,34.0
Mike Gesicki,TE,CIN,130,,30.0,,80.0,50.0,100.0
Brandon Aiyuk,WR,SF,131,,60.0,,95.5,35.5,71.0
Hunter Henry,TE,NE,132,,18.0,,75.0,57.0,114.0
Rashid Shaheed,WR,NO,133,,59.0,,96.0,37.0,74.0
Kayshon Boutte,WR,NE,134,,68.0,,101.0,33.0,66.0
Rashod Bateman,WR,BAL,135,,88.0,,111.5,23.5,47.0
Caleb Williams,QB,CHI,136,,6.0,,71.0,65.0,130.0
Austin Ekeler,RB,WAS,137,,99.0,,118.0,19.0,38.0
Tyjae Spears,RB,TEN,138,,46.0,,92.0,46.0,92.0
Wan'Dale Robinson,WR,NYG,139,,39.0,,89.0,50.0,100.0
Noah Fant,TE,SEA,140,,47.0,,93.5,46.5,93.0
Jordan Mason,RB,SF,141,,41.0,,91.0,50.0,100.0
Juwan Johnson,TE,NO,142,,16.0,,79.0,63.0,126.0
Chris Olave,WR,NO,143,,11.0,,77.0,66.0,132.0
Aaron Jones,RB,MIN,144,,35.0,,89.5,54.5,109.0
Justice Hill,RB,BAL,145,,74.0,,109.5,35.5,71.0
Rhamondre Stevenson,RB,NE,146,,29.0,,87.5,58.5,117.0
Ray Davis,RB,BUF,147,,62.0,,104.5,42.5,85.0
Anthony Richardson,QB,IND,148,,35.0,,91.5,56.5,113.0
Sean Tucker,RB,TB,149,,63.0,,106.0,43.0,86.0
Khalil Shakir,WR,BUF,150,,48.0,,99.0,51.0,102.0
Cam Akers,RB,MIN,151,,121.0,,136.0,15.0,30.0
Will Shipley,RB,PHI,152,,84.0,,118.0,34.0,68.0
Keaton Mitchell,RB,BAL,153,,50.0,,101.5,51.5,103.0
Brian Robinson,RB,WAS,154,,53.0,,103.5,50.5,101.0
Keon Coleman,WR,BUF,155,,91.0,,123.0,32.0,64.0
