player_id,season,player_display_name,team,games_played,ppr_pg_weighted,ppr_total_weighted,ppr_pg_last,ppr_pg_2yr_ago,ppr_pg_3yr_ago,games_played_last,games_played_2yr_ago,career_seasons,age_at_season_start,team_pass_rate_last,team_pts_per_game_last,team_plays_per_game_last,team_changed_offseason,carries_pg_last,rush_yds_pg_last,rush_tds_pg_last,targets_pg_last,receptions_pg_last,rec_yds_pg_last,target_share_last,snap_pct_last,xfp_ppr_last,ppr_minus_xfp_last,games_missed_last,is_receiving_back,is_workhorse,age_over_28,fantasy_points_ppr,fantasy_points_half_ppr,fantasy_points_ppr_per_game,fantasy_points_half_ppr_per_game,receptions,projected_ppr,projected_half_ppr,naive_proj,xfp_proj
00-0030578,2024,Cordarrelle Patterson,PIT,14,6.881250000000001,92.01,3.0750000000000006,11.900000000000002,14.6625,12.0,13.0,11.0,26.0,0.5038022813688213,20.53287197231834,61.88235294117647,1.0,4.166666666666667,15.083333333333334,0.0,1.0,0.75,3.1666666666666665,0.023762376237623763,0.19285714285714287,54.07,-17.169999999999995,5.0,0.0,0.0,0.0,37.5,31.5,2.6785714285714284,2.25,12.0,74.499886,61.833998680114746,49.20000000000001,54.07
00-0031687,2024,Raheem Mostert,MIA,13,14.827083333333334,237.23333333333335,16.98125,10.51875,0.0,16.0,16.0,2.0,26.0,0.5617455896007428,23.794117647058826,59.833333333333336,0.0,13.5625,65.3125,1.125,2.125,1.625,10.75,0.0595446584938704,0.558125,223.73000000000002,47.96999999999997,1.0,0.0,0.0,0.0,70.9,61.400000000000006,5.453846153846154,4.723076923076923,19.0,198.1388,181.80081176757812,271.7,223.73000000000002
00-0031687,2025,Raheem Mostert,LV,12,9.418557692307692,140.88,5.453846153846154,16.98125,10.51875,13.0,16.0,3.0,26.0,0.5749027237354085,20.11764705882353,60.470588235294116,1.0,6.538461538461538,21.384615384615383,0.15384615384615385,1.7692307692307692,1.4615384615384615,12.384615384615385,0.04136690647482014,0.31384615384615383,86.88,-15.97999999999999,4.0,0.0,0.0,0.0,29.400000000000002,23.400000000000002,2.45,1.9500000000000002,12.0,80.502945,73.02547931671143,87.26153846153846,86.88
00-0032104,2024,Ameer Abdullah,LV,15,3.078345588235294,49.78,2.5625,3.38125,5.264705882352941,16.0,16.0,7.0,26.0,0.5742268041237113,18.02076124567474,57.05882352941177,0.0,0.9375,5.5625,0.0,1.5,1.1875,8.1875,0.04519774011299435,0.20529411764705885,44.57,-3.5700000000000003,1.0,0.0,0.0,0.0,125.2,105.2,8.346666666666668,7.013333333333334,40.0,72.78517,63.573402404785156,41.0,44.57
00-0032104,2025,Ameer Abdullah,IND,13,6.114875,92.83,8.346666666666668,2.5625,3.38125,15.0,16.0,8.0,26.0,0.6252465483234714,18.823529411764707,59.64705882352941,1.0,4.4,20.733333333333334,0.13333333333333333,3.1333333333333333,2.6666666666666665,17.4,0.07952622673434856,0.369375,115.35,9.850000000000009,2.0,0.0,0.0,0.0,37.9,29.9,2.9153846153846152,2.3,16.0,99.88153,84.70708465576172,133.54666666666668,115.35
00-0032764,2024,Derrick Henry,BAL,19,16.665730392156863,259.374,14.509411764705884,18.9225,22.833333333333332,17.0,16.0,8.0,26.0,0.5283422459893048,18.570934256055363,55.0,1.0,16.470588235294116,68.6470588235294,0.7058823529411765,2.1176470588235294,1.6470588235294117,12.588235294117647,0.07547169811320754,0.5364705882352941,222.5,24.160000000000025,0.0,0.0,0.0,0.0,381.40000000000003,371.90000000000003,20.073684210526316,19.573684210526316,19.0,214.43657,200.746750831604,232.15058823529415,222.5
00-0032764,2025,Derrick Henry,BAL,17,18.289284055727553,333.11400000000003,20.073684210526316,14.509411764705884,18.9225,19.0,17.0,9.0,26.0,0.4520311149524633,25.640866873065015,60.89473684210526,0.0,19.31578947368421,115.3157894736842,1.0,1.263157894736842,1.0,10.157894736842104,0.04838709677419355,0.5768421052631578,287.7,93.70000000000005,0.0,0.0,0.0,0.0,279.5,272.0,16.441176470588236,16.0,15.0,177.41321,167.85346126556396,321.17894736842106,287.7
00-0033045,2024,Ezekiel Elliott,DAL,15,11.035464052287582,189.026,10.264705882352942,11.511764705882353,14.231111111111112,17.0,17.0,8.0,26.0,0.573045267489712,17.366782006920417,57.1764705882353,1.0,10.823529411764707,37.76470588235294,0.17647058823529413,3.823529411764706,3.0,18.41176470588235,0.12014787430683918,0.5305882352941176,186.31,-11.810000000000002,0.0,1.0,0.0,0.0,57.5,51.5,3.8333333333333335,3.433333333333333,12.0,137.79408,119.2242603302002,164.23529411764707,186.31
00-0033280,2024,Christian McCaffrey,SF,4,23.232696992481202,425.808,25.278947368421054,20.813,18.214285714285715,19.0,20.0,3.0,26.0,0.5084745762711864,23.9,59.0,0.0,17.42105263157895,90.89473684210526,0.9473684210526315,5.684210526315789,4.526315789473684,37.68421052631579,0.1956521739130435,0.8373684210526315,406.32,73.98000000000002,0.0,1.0,1.0,0.0,47.800000000000004,40.300000000000004,11.950000000000001,10.075000000000001,15.0,256.56482,229.47537231445312,404.46315789473687,406.32
00-0033280,2025,Christian McCaffrey,SF,19,16.83498421052632,214.39600000000002,11.950000000000001,25.278947368421054,20.813,4.0,19.0,4.0,26.0,0.5411167512690356,22.70242214532872,57.94117647058823,0.0,12.5,50.5,0.0,4.75,3.75,36.5,0.03941908713692946,0.7224999999999999,57.4,-9.599999999999994,13.0,1.0,0.0,0.0,458.40000000000003,401.90000000000003,24.126315789473686,21.15263157894737,113.0,250.82956,225.06066703796387,191.20000000000002,57.4
